Ингредиенты, 100 гА-Я;Калории, ккал;Белки, г;Жиры, г;Углеводы, г
Масло растительное;899ккал;0г;100г;0г
Арахисовое масло;899ккал;0г;99.9г;0г
Кунжутное масло;899ккал;0г;100г;0.1г
Чесночное масло;899ккал;0г;100г;0г
Оливковое масло;898ккал;0г;100г;0г
Трюфельное масло;898ккал;0г;100г;0г
Тыквенное масло;896ккал;0г;100г;0г
Маргарин;744ккал;0г;83г;0.5г
Пекан;691ккал;9г;72г;4г
Кедровые орехи;674ккал;24г;60г;21г
Масло соленое;662ккал;72.5г;1г;1.4г
Масло безлактозное;662ккал;0.5г;72.5г;0.8г
Масло сливочное;662ккал;0.5г;72.5г;0.8г
Грецкий орех;656ккал;16г;61г;11г
Фундук;651ккал;15г;62г;9г
Лепестки миндаля;650ккал;22г;12г;58г
Майонез;627ккал;2г;67г;4г
Печень трески;613ккал;4.2г;65.7г;1.2г
Миндаль;609ккал;19г;54г;13г
Пепперони;601ккал;15г;60г;0г
Семена подсолнечника;601ккал;21г;53г;11г
Кешью;600ккал;19г;49г;23г
Кокосовая стружка;592ккал;13г;65г;14г
Конфеты шоколадные;569ккал;4г;40г;54г
Салями;566ккал;13г;57г;0.2г
Кунжут;565ккал;19г;49г;12г
Мак;556ккал;18г;48г;15г
Тыквенные семечки;556ккал;25г;46г;5г
Фисташки;556ккал;20г;50г;7г
Мускатный орех;556ккал;20г;50г;7г
Шоколад молочный;554ккал;10г;35г;50г
Арахис;551ккал;26г;45г;10г
Шоколад белый;541ккал;4г;30г;62г
Шоколад темный;539ккал;6г;35г;48г
Семена льна;534ккал;18.3г;42.2г;28.9г
Полусладкий шоколад;520ккал;4.7г;27.7г;65.6г
Буженина;510ккал;15г;50г;0г
Колбаса копченая;507ккал;13г;57г;0г
Сухое молоко;469ккал;24г;25г;39г
Бекон;458ккал;12г;45г;0.66г
Чоризо;455ккал;24г;38г;2г
Песто;454ккал;5г;45г;6г
Маскарпоне шоколадный;441ккал;4г;33г;25г
Фило-тесто;441ккал;7г;20г;48г
Мука кокосовая;440ккал;20г;14г;60г
Печенье овсяное;437ккал;7г;14г;72г
Пекорино;419ккал;26г;33г;0г
Хмели-сунели;418ккал;5г;40г;10г
Грюйер;413ккал;30г;32г;0.4г
Гусь тушка;412ккал;15.2г;39г;0г
Маскарпоне;412ккал;5г;41г;5г
Гренки пшеничные;407ккал;12г;7г;68г
Печенье песочное;407ккал;7г;9г;73г
Круассан;406ккал;8г;21г;43г
Тесто песочное;404ккал;7г;21г;50г
Сахарный песок;399ккал;0г;0г;100г
Сахар ванильный;398ккал;0г;0г;100г
Сухари панировочные;395ккал;13г;5г;67г
Кондитерская посыпка;395ккал;5г;10г;74г
Кондитерская глазурь;393ккал;0г;0г;98г
